DAY,MONTH,YEAR,Power
2,1,2019,268.3
3,1,2019,285.2
4,1,2019,270.3
5,1,2019,286.8
6,1,2019,298.3
7,1,2019,294.2
8,1,2019,279.2
9,1,2019,280.4
10,1,2019,290.8
11,1,2019,270.5
12,1,2019,298.4
13,1,2019,314.1
14,1,2019,305.9
15,1,2019,288.7
16,1,2019,301.4
17,1,2019,313.9
18,1,2019,321.5
19,1,2019,325.8
20,1,2019,325.4
21,1,2019,311.5
22,1,2019,295.3
23,1,2019,340.6
24,1,2019,332.7
25,1,2019,298.4
26,1,2019,330
27,1,2019,347.2
28,1,2019,346.6
29,1,2019,329.5
30,1,2019,242.7
31,1,2019,244.1
2,2,2019,245.2
3,2,2019,243.9
4,2,2019,246.5
5,2,2019,250.2
6,2,2019,250.6
7,2,2019,201.2
8,2,2019,218.6
9,2,2019,221.8
10,2,2019,230.7
11,2,2019,245.8
12,2,2019,253.6
13,2,2019,243
14,2,2019,295
15,2,2019,297.2
16,2,2019,304.7
17,2,2019,301.5
18,2,2019,302.2
19,2,2019,294.6
20,2,2019,282.4
21,2,2019,345.5
22,2,2019,356.2
23,2,2019,345.2
24,2,2019,349.5
25,2,2019,343
26,2,2019,336.8
27,2,2019,313.7
28,2,2019,296.7
2,3,2019,307
3,3,2019,302.4
4,3,2019,308
5,3,2019,314.3
6,3,2019,306.3
7,3,2019,282.7
8,3,2019,284.8
9,3,2019,302.4
10,3,2019,312
11,3,2019,310.8
12,3,2019,307
13,3,2019,303.6
14,3,2019,278.7
15,3,2019,228.7
16,3,2019,230.9
17,3,2019,236.3
18,3,2019,221.8
19,3,2019,228.8
20,3,2019,234.4
21,3,2019,245.3
22,3,2019,269.1
23,3,2019,280.8
24,3,2019,280.3
25,3,2019,265.8
26,3,2019,264.7
27,3,2019,250
28,3,2019,211.8
29,3,2019,345.9
30,3,2019,341.9
31,3,2019,350.1
2,4,2019,346
3,4,2019,351.1
4,4,2019,349.3
5,4,2019,327
6,4,2019,318.5
7,4,2019,327.6
8,4,2019,332.8
9,4,2019,335.5
10,4,2019,340.9
11,4,2019,334.6
12,4,2019,312.9
13,4,2019,329.9
14,4,2019,347.7
15,4,2019,330.3
16,4,2019,334
17,4,2019,337.3
18,4,2019,339.7
19,4,2019,319.5
20,4,2019,311.6
21,4,2019,323.8
22,4,2019,325.6
23,4,2019,328.3
24,4,2019,329.1
25,4,2019,326.4
26,4,2019,302.8
27,4,2019,277.7
28,4,2019,285.9
29,4,2019,261.1
30,4,2019,272.4
2,5,2019,271.4
3,5,2019,276.3
4,5,2019,259.2
5,5,2019,280.4
6,5,2019,282.4
7,5,2019,282.3
8,5,2019,280.9
9,5,2019,293.5
10,5,2019,291.6
11,5,2019,274.7
12,5,2019,297.9
13,5,2019,299
14,5,2019,312.3
15,5,2019,312.5
16,5,2019,300.7
17,5,2019,305.3
18,5,2019,284.4
19,5,2019,324.7
20,5,2019,323.2
21,5,2019,337.7
